Codigo,Estacion,Longitud,Latitud,Ciudad,Barrio,Comuna,Corregimiento,Vereda,Fecha_Instalacion,Estado
382,picacha las violetas- Nivel,-75.61252,6.23465,Medellin,Las Violetas,16 Belen,NULL,NULL,2019-06-14,Activa
383,Salinas Caldas - Pluviografica,-75.66264,6.04833,Caldas,,,,Salinas,2019-06-14,Activa
384,Salinas Caldas - Extensometro,-75.66264,6.04833,Caldas,,,,,2019-06-19,Inactiva
385,Ancon 2 - Extensometro,-75.48245,6.37822,Copacabana,,,,,2019-07-11,Activa
386,Ancon 2 - GNSS,-75.48250,6.37783,Copacabana,,,,,2019-07-11,Activa
387,El Tesoro - Extensometro,-75.45892,6.35169,Girardota,,,,,2019-08-01,Activa
388,Torre Siata Piso 2 - Meteorologica,-75.58864,6.25922,Medellin,Estadio,11 Laureles - Estadio,,,2019-08-06,Inactiva
389,El Tesoro - Pluviografica,-75.45892,6.35169,Girardota,,,,Manga Arriba,2019-08-09,Activa
390,El Tesoro - Acelerometro,-75.45892,6.35169,Girardota,,,,,2019-08-09,Activa
391,PTAR Aguas Claras - Nivel,-75.53034,6.34183,Bello,Navarra,Comuna 9,,,2019-08-26,Inactiva
392,Universidad San buenaventura - Pluviografica,-75.57011,6.33092,Bello,,Comuna 03,,,2019-09-09,Activa
393,Deprimido terminal del norte - Pluviografica,-75.57275,6.27608,Medellin,,05 Castilla,,,2019-09-20,Activa
394,Deprimido los musicos - Pluviografica,-75.58184,6.24745,Medellin,San Joaquin,11 Laureles - Estadio,,,2019-09-20,Activa
395,La harenala santa Maria - Pluviografica,-75.60391,6.18417,Itagui,Santa Maria No. 1,,70 Altavista,El Progreso,2019-09-24,Activa
396,Quebrada Larga Stevens,-75.68567,6.20558,Medellin,,,80 San Antonio de Prado,Yarumalito,2020-06-19,Activa
397,Concejo de Itagui - Thiess,-75.64410,6.16810,Itagui,Ditares,,,,2019-09-27,Activa
398,El tesoro 2 - Extensometro,-75.45892,6.35169,Girardota,,,,,2019-10-01,Activa
399,Institucion Educativa Jesus Maria Valle - Meteorologica,-75.58223,6.30053,Medellin,Picacho,06 Doce de Octubre,,,2019-10-09,Activa
401,Alcantarillado feria ganado - Nivel,-75.56230,6.30310,Medellin,Boyaca,05 Castilla,,,2019-10-11,Activa
402,8 de marzo - Nivel,-75.52972,6.23017,Medellin,Juan Pablo II,09 Buenos Aires,NULL,NULL,2019-09-25,Activa
403,Puerto Triunfo - Meteorologica,-74.64149,5.86831,Puerto Triunfo,,,,,2019-10-17,Activa
404,Santa Elena Km11 - Nivel,-75.50208,6.21211,Medellin,,,90 Santa Elena,Santa Elena - Sector Central,2019-10-23,Activa
405,Quebrada san Alejo - Nivel,-75.62004,6.14873,Sabaneta,,,,,2019-11-01,Activa
406,El Plebiscito - Nivel,-75.62144,6.15227,Sabaneta,,,,,2019-11-01,Activa
407,Jerico - Pluviografica,-75.78706,5.79349,Jerico,,,,,2019-11-05,Activa
409,Extensometro Planta - Jerico,-75.78984,5.79312,Jerico,,,,,2019-11-12,Inactiva
410,Acelerometro  Planta - Jerico,-75.78984,5.79312,Jerico,,,,,2019-11-12,Activa
411,Extensometro Tanque - Jerico,-75.78935,5.79274,Jerico,,,,,2019-11-13,Inactiva
412,Alcaldia Taraza - Meteorologica,-75.40034,7.58075,Taraza,,,,,2019-11-18,Activa
413,Bomberos Caucasia - Meteorologica,-75.17956,7.96742,Caucasia,,,,,2019-11-28,Activa
414,caucasia- Nivel,-75.18628,7.96989,Caucasia,,,,,2019-12-02,Activa
416,Salada Parte Alta - Disdrometro,-75.61831,6.01689,Caldas,,,,Salada Parte Alta,2019-12-10,Activa
