Fecha hora inicio,Aeropuerto,Tipo Informe,Informe
2020-08- 18 10:00:00,SKBO,METAR,METAR SKBO 181000Z 02003KT 8000 1500NW PRFG FEW017 SCT070 08/08 A3032 BECMG 0500 FG=
2020-08- 18 10:00:00,SKLT,METAR,METAR SKLT 181000Z VRB02KT 9999 FEW010 SCT100 24/24 A2981=
2020-08- 18 10:00:00,SKRG,METAR,METAR SKRG 181000Z 16003KT 9999 SCT007 BKN080 15/14 A3027 NOSIG=
2020-08- 18 10:00:00,SKCL,METAR,METAR SKCL 181000Z 21003KT 9999 FEW030 BKN120 21/18 A2999 NOSIG=
2020-08- 18 10:00:00,SKBQ,METAR,METAR SKBQ 181000Z 06005KT 9999 BKN010 25/25 A2982 BECMG TL1030 FM1130 2000 BR=
2020-08- 18 10:30:00,SKRG,SPECI,SPECI SKRG 181030Z 00000KT 9999 SCT010 BKN080 15/14 A3027 NOSIG=
2020-08- 18 10:30:00,SKCL,SPECI,SPECI SKCL 181030Z VRB02KT 9999 FEW040 BKN120 20/18 A3000 REDZ NOSIG=
2020-08- 18 10:30:00,SKBO,SPECI,SPECI SKBO 181030Z VRB02KT 5000 BR FEW017 SCT070 08/07 A3032 NOSIG=
2020-08- 18 11:00:00,SKCC,METAR,METAR SKCC 181100Z VRB02KT 5000 -RA SCT010 BKN070 24/24 A2995=
2020-08- 18 11:00:00,SKUI,METAR,METAR SKUI 181100Z 00000KT 9999 SCT010 BKN080 24/24 A2985
2020-08- 18 11:00:00,SKBO,METAR,METAR SKBO 181100Z VRB02KT 8000 MIFG FEW017 BKN080 08/07 A3032 NOSIG=
2020-08- 18 11:00:00,SKPV,METAR,METAR SKPV 181100Z VRB02KT 9999 FEW017 27/25 A2985=
2020-08- 18 11:00:00,SKMD,METAR,METAR SKMD 181100Z 00000KT 9999 SCT018 SCT080 19/18 A3013 RMK HZ=
2020-08- 18 11:00:00,SKCL,METAR,METAR SKCL 181100Z 19004KT 9999 FEW040 BKN120 20/19 A3001 NOSIG=
2020-08- 18 11:00:00,SKCG,METAR,METAR SKCG 181100Z 28004KT 9999 -RA FEW013CB SCT014 BKN200 27/27 A2980 RMK CB/W=
2020-08- 18 11:00:00,SKVV,METAR,METAR SKVV 181100Z 00000KT 9999 FEW020 SCT200 21/19 A2989=
2020-08- 18 11:00:00,SKNV,METAR,METAR SKNV 181100Z VRB02KT 9999 FEW027 BKN090 22/21 A2992=
2020-08- 18 11:00:00,SKBQ,METAR,METAR SKBQ 181100Z 07003KT 9999 SCT012 25/24 A2982 NOSIG=
2020-08- 18 11:00:00,SKRG,METAR,METAR SKRG 181100Z 00000KT 9999 FEW010 SCT018 BKN080 15/14 A3028 NOSIG=
2020-08- 18 11:00:00,SKLT,METAR,METAR SKLT 181100Z 00000KT 9999 FEW015 SCT100 BKN200 24/24 A2982=
2020-08- 18 11:00:00,SKSP,METAR,METAR SKSP 181100Z 05008KT 9999 FEW014 28/25 A2984=
2020-08- 18 11:00:00,SKPC,METAR,METAR SKPC 181100Z 00000KT 8000 -DZ SCT010 BKN070 24/23 A2982=
2020-08- 18 11:00:00,SKLC,METAR,METAR SKLC 181100Z 00000KT 9999 FEW003 BKN018 25/24 A2983=
2020-08- 18 11:00:00,SKMR,METAR,METAR SKMR 181100Z 14004KT 9999 FEW013 SCT200 25/24 A2982=
2020-08- 18 11:00:00,SKPE,METAR,METAR SKPE 181100Z VRB02KT 8000 VCFG BKN010 SCT080 19/19 A3007=
2020-08- 18 11:00:00,SKBG,METAR,METAR SKBG 181100Z 18004KT 9999 2000S BCFG FEW010 BKN240 19/19 A3001=
2020-08- 18 11:14:00,SKCC,SPECI,SPECI SKCC 181114Z VRB02KT 8000 -RA SCT012 BKN070 24/24 A2996=
2020-08- 18 12:00:00,SKIP,METAR,METAR SKIP 181200Z 00000KT 9999 4000S BCFG SCT008 SCT080 08/08 A3039=
2020-08- 18 12:00:00,SKCL,METAR,METAR SKCL 181200Z 14004KT 8000 VCFG BKN040 20/19 A3003 REDZ NOSIG=
2020-08- 18 12:00:00,SKRG,METAR,METAR SKRG 181200Z 27003KT 9999 BKN012 15/14 A3030 NOSIG=
2020-08- 18 12:00:00,SKNV,METAR,METAR SKNV 181200Z 15003KT 120V190 9999 FEW027 BKN090 23/21 A2995=
2020-08- 18 12:00:00,SKPC,METAR,METAR SKPC 181200Z 18006KT 2000 DZ SCT010 BKN070 24/23 A2986=
2020-08- 18 12:00:00,SKSM,METAR,METAR SKSM 181200Z 03004KT 9999 FEW020 SCT100 BKN200 27/25 A////=
2020-08- 18 12:00:00,SKUI,METAR,METAR SKUI 181200Z 00000KT 5000 BR BKN007 24/24 A2987
2020-08- 18 12:00:00,SKLT,METAR,METAR SKLT 181200Z VRB02KT 9999 FEW015SCT100 BKN200 24/24 A2983=
2020-08- 18 12:00:00,SKLC,METAR,METAR SKLC 181200Z 16003KT 9999 FEW003 BKN018 25/25 A2985=
2020-08- 18 12:00:00,SKEJ,METAR,METAR SKEJ 181200Z VRB02KT 9999 FEW015 BKN200 25/24 A2985=
2020-08- 18 12:00:00,SKMR,METAR,METAR SKMR 181200Z VRB02KT 9999 FEW013 BKN200 26/25 A2983=
2020-08- 18 12:00:00,SKSP,METAR,METAR SKSP 181200Z 04008KT 030V090 9999 FEW016 SCT200 28/25 A2984=
2020-08- 18 12:00:00,SKPE,METAR,METAR SKPE 181200Z 23005KT 6000 TS SCT008 FEW012CB SCT080 19/19 A3009 RMK CB S/SW=
2020-08- 18 12:00:00,SKBQ,METAR,METAR SKBQ 181200Z 07004KT 040V100 9999 SCT012 SCT070 26/25 A2984 NOSIG=
2020-08- 18 12:00:00,SKBO,METAR,METAR SKBO 181200Z 03003KT 0500 R13L/P2000N FG FEW020 BKN070 09/09 A3033 BECMG 9000 HZ=
2020-08- 18 12:00:00,SKPV,METAR,METAR SKPV 181200Z VRB06KT 9999 FEW017 27/25 A2985=
2020-08- 18 12:00:00,SKCG,METAR,METAR SKCG 181200Z 17006KT 160V220 9999 VCSH SCT013CB SCT200 28/27 A2981 RMK CB VCSH/S/W=
2020-08- 18 12:00:00,SKBG,METAR,METAR SKBG 181200Z 18005KT 0200 FG VV001 19/19 A3000 RMK AD BLW MNM MET=
2020-08- 18 12:00:00,SKVV,METAR,METAR SKVV 181200Z 00000KT 9999 FEW020 SCT200 20/19 A2989=
2020-08- 18 12:00:00,SKCC,METAR,METAR SKCC 181200Z 29004KT 270V330 8000 VCFG SCT012 BKN070 24/24 A2998 RERA=
2020-08- 18 12:00:00,SKMD,METAR,METAR SKMD 181200Z 00000KT 9999 FEW020 BKN090 20/18 A3016=
2020-08- 18 12:13:00,SKBG,SPECI,SPECI SKBG 181213Z 18007KT 5000 BCFG SCT010 SCT240 19/19 A3001=
